scene_index,baseline_overlap_iou_sum,baseline_sg_consistency,baseline_active_objects,s0075_d025_i050_overlap_delta,s0075_d025_i050_consistency_drop,s0075_d025_i050_movement_mean,s0075_d025_i050_movement_max,s0075_d035_i050_overlap_delta,s0075_d035_i050_consistency_drop,s0075_d035_i050_movement_mean,s0075_d035_i050_movement_max,s0025_d015_i025_overlap_delta,s0025_d015_i025_consistency_drop,s0025_d015_i025_movement_mean,s0025_d015_i025_movement_max,s0025_d025_i050_overlap_delta,s0025_d025_i050_consistency_drop,s0025_d025_i050_movement_mean,s0025_d025_i050_movement_max,s0050_d025_i050_overlap_delta,s0050_d025_i050_consistency_drop,s0050_d025_i050_movement_mean,s0050_d025_i050_movement_max,s0075_d015_i050_overlap_delta,s0075_d015_i050_consistency_drop,s0075_d015_i050_movement_mean,s0075_d015_i050_movement_max,s0075_d025_i025_overlap_delta,s0075_d025_i025_consistency_drop,s0075_d025_i025_movement_mean,s0075_d025_i025_movement_max,s0075_d025_i075_overlap_delta,s0075_d025_i075_consistency_drop,s0075_d025_i075_movement_mean,s0075_d025_i075_movement_max
17,0.18128589280289967,0.625,5,-0.01489218849568369,0.0,0.05999999999999992,0.2249999999999996,-0.015024933247638178,0.0,0.07499999999999989,0.29999999999999943,-0.013658684776182067,0.0,0.050000000000000114,0.12500000000000053,-0.015024933247638178,0.0,0.065,0.25,-0.015024933247638178,0.0,0.06999999999999999,0.25,-0.014892188495683717,0.0,0.075,0.15,-0.01489218849568369,0.0,0.06,0.225,-0.01489218849568369,0.0,0.06,0.225
18,0.06228247741564123,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.11143349238616862,0.8571428571428571,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.010498352740515632,1.0,4,-0.010280474217595254,0.0,0.08132384137953065,0.15,-0.010280474217595254,0.0,0.08132384137953065,0.15,-0.009578592870323385,0.0,0.07894051000185777,0.14077144700511188,-0.010296812124810975,0.0,0.0885219619887929,0.15410377925351307,-0.010498352740515632,0.0,0.09621308100011292,0.14998396344660844,-0.009033114802561732,0.0,0.06257384137953066,0.10029536551812264,-0.010280474217595254,0.0,0.08132384137953066,0.15000000000000002,-0.010280474217595254,0.0,0.08132384137953066,0.15000000000000002
21,0.04744913829861531,1.0,5,-0.02092320597140961,0.0,0.07499999999999998,0.22499999999999995,-0.020923205971409606,0.0,0.07499999999999998,0.29999999999999993,-0.014910791541532742,0.0,0.05499999999999999,0.14999999999999997,-0.02390323194155905,0.0,0.08499999999999999,0.25,-0.022415384869555077,0.0,0.08,0.25,-0.016420488310408356,0.0,0.059999999999999984,0.14999999999999997,-0.02092320597140961,0.0,0.07499999999999998,0.22499999999999995,-0.02092320597140961,0.0,0.07499999999999998,0.22499999999999995
22,0.21787410800031767,1.0,4,-0.12439321678259935,0.0,0.1499999999999999,0.22499999999999992,-0.12686308878468627,0.0,0.16874999999999984,0.2999999999999999,-0.09622798703152702,0.0,0.10833471264052155,0.15000000000000074,-0.13284586042378005,0.0,0.1644979237358671,0.24999999999999997,-0.12850722911162069,0.0,0.16249999999999998,0.25,-0.07972227146839675,0.0,0.09375,0.15,-0.12439321678259935,0.0,0.15,0.225,-0.12439321678259935,0.0,0.15,0.225
23,0.21369491874428792,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.40951104690375006,0.9411764705882353,7,-0.2569652980236226,0.0,0.08925547766362037,0.2497883436453429,-0.2569652980236226,0.0,0.08925547766362037,0.2497883436453429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08375981813958355,0.0,0.021428571428571432,0.1,-0.18273006024148164,0.0,0.05603673348402942,0.14999999999999997,-0.2569652980236226,0.0,0.08925547766362042,0.24978834364534297,-0.2569652980236226,0.0,0.08925547766362042,0.24978834364534297
25,0.12138261605705107,1.0,5,-0.005184881488046758,0.0,0.045000000000000005,0.07500000000000004,-0.005184881488046758,0.0,0.045000000000000005,0.07500000000000004,-0.005184881488046758,0.0,0.029999593043475558,0.05000000000000002,-0.005184881488046758,0.0,0.029999593043475548,0.05,-0.005184881488046758,0.0,0.030000000000000006,0.05,-0.005184881488046758,0.0,0.045,0.075,-0.005184881488046758,0.0,0.045,0.075,-0.005184881488046758,0.0,0.045,0.075
26,1.0164738598211738,0.9285714285714286,6,-0.38229350361609016,0.0,0.07332889109266078,0.21497334655596467,-0.4164046321277405,0.0,0.09791616493144091,0.28749698958864545,-0.48598660032406893,0.0,0.06595303215541605,0.14571819293249644,-0.5455727002811623,0.0,0.09403529620352652,0.23921177722115902,-0.487695080839311,0.0,0.09891227710516513,0.24347366263099074,-0.3461984055750911,0.0,0.06166526457795249,0.15,-0.38229350361609016,0.0,0.07332889109266079,0.2149733465559647,-0.38229350361609016,0.0,0.07332889109266079,0.2149733465559647
27,0.36448010986628043,0.6666666666666666,5,-0.3129402739952315,0.0,0.14923314749027713,0.2479645929691179,-0.36448010986628043,0.0,0.18303947974665746,0.32362401693793197,-0.013571281266212154,0.0,0.03999982691493973,0.14999913457469863,-0.01755227329031467,0.0,0.05999981306832475,0.24999906534162375,-0.33097253296769735,0.0,0.1529017824092914,0.25,-0.17188376716435044,0.0,0.0915905640194975,0.15,-0.3129402739952315,0.0,0.14923314749027716,0.24796459296911788,-0.3129402739952315,0.0,0.14923314749027716,0.24796459296911788
