scene_id,layout_variant,source_config_id,n_objects,changed_objects,total_xz_movement,max_xz_movement,budget_total,budget_max
bedroom:198eb9ec-9059-4e26-958e-dc8fb8187713_Bedroom-12864,random_movement_matched_seed0,eg06_random_seed0,5,0,0.0,0.0,0.0,0.0
bedroom:198eb9ec-9059-4e26-958e-dc8fb8187713_Bedroom-12864,random_movement_matched_seed1,eg06_random_seed1,5,0,0.0,0.0,0.0,0.0
bedroom:198eb9ec-9059-4e26-958e-dc8fb8187713_Bedroom-12864,random_movement_matched_seed2,eg06_random_seed2,5,0,0.0,0.0,0.0,0.0
bedroom:198eb9ec-9059-4e26-958e-dc8fb8187713_Bedroom-12864,generic_relation_optimizer,eg06_generic_budget_matched,5,0,0.0,0.0,0.0,0.0
bedroom:19c91c8f-02fc-44d9-b275-84c32f0572ad_SecondBedroom-266050,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,6,0,0.0,0.0,0.0,0.0
bedroom:19c91c8f-02fc-44d9-b275-84c32f0572ad_SecondBedroom-266050,random_movement_matched_seed0,eg06_random_seed0,6,0,0.0,0.0,0.0,0.0
bedroom:19c91c8f-02fc-44d9-b275-84c32f0572ad_SecondBedroom-266050,random_movement_matched_seed1,eg06_random_seed1,6,0,0.0,0.0,0.0,0.0
bedroom:19c91c8f-02fc-44d9-b275-84c32f0572ad_SecondBedroom-266050,random_movement_matched_seed2,eg06_random_seed2,6,0,0.0,0.0,0.0,0.0
bedroom:19c91c8f-02fc-44d9-b275-84c32f0572ad_SecondBedroom-266050,generic_relation_optimizer,eg06_generic_budget_matched,6,0,0.0,0.0,0.0,0.0
bedroom:1aa91215-cba7-4c40-8b37-6b21584b5924_MasterBedroom-12352,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,4,0,0.0,0.0,0.0,0.0
bedroom:1aa91215-cba7-4c40-8b37-6b21584b5924_MasterBedroom-12352,random_movement_matched_seed0,eg06_random_seed0,4,0,0.0,0.0,0.0,0.0
bedroom:1aa91215-cba7-4c40-8b37-6b21584b5924_MasterBedroom-12352,random_movement_matched_seed1,eg06_random_seed1,4,0,0.0,0.0,0.0,0.0
bedroom:1aa91215-cba7-4c40-8b37-6b21584b5924_MasterBedroom-12352,random_movement_matched_seed2,eg06_random_seed2,4,0,0.0,0.0,0.0,0.0
bedroom:1aa91215-cba7-4c40-8b37-6b21584b5924_MasterBedroom-12352,generic_relation_optimizer,eg06_generic_budget_matched,4,0,0.0,0.0,0.0,0.0
bedroom:1e16532d-1ec8-42c6-a66f-ef21e31c22c1_MasterBedroom-7894,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,5,0,0.0,0.0,0.0,0.0
bedroom:1e16532d-1ec8-42c6-a66f-ef21e31c22c1_MasterBedroom-7894,random_movement_matched_seed0,eg06_random_seed0,5,0,0.0,0.0,0.0,0.0
bedroom:1e16532d-1ec8-42c6-a66f-ef21e31c22c1_MasterBedroom-7894,random_movement_matched_seed1,eg06_random_seed1,5,0,0.0,0.0,0.0,0.0
bedroom:1e16532d-1ec8-42c6-a66f-ef21e31c22c1_MasterBedroom-7894,random_movement_matched_seed2,eg06_random_seed2,5,0,0.0,0.0,0.0,0.0
bedroom:1e16532d-1ec8-42c6-a66f-ef21e31c22c1_MasterBedroom-7894,generic_relation_optimizer,eg06_generic_budget_matched,5,0,0.0,0.0,0.0,0.0
bedroom:1e4c1b89-895e-4663-9469-f2e837fb39fd_MasterBedroom-118594,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,4,0,0.0,0.0,0.0,0.0
bedroom:1e4c1b89-895e-4663-9469-f2e837fb39fd_MasterBedroom-118594,random_movement_matched_seed0,eg06_random_seed0,4,0,0.0,0.0,0.0,0.0
bedroom:1e4c1b89-895e-4663-9469-f2e837fb39fd_MasterBedroom-118594,random_movement_matched_seed1,eg06_random_seed1,4,0,0.0,0.0,0.0,0.0
bedroom:1e4c1b89-895e-4663-9469-f2e837fb39fd_MasterBedroom-118594,random_movement_matched_seed2,eg06_random_seed2,4,0,0.0,0.0,0.0,0.0
bedroom:1e4c1b89-895e-4663-9469-f2e837fb39fd_MasterBedroom-118594,generic_relation_optimizer,eg06_generic_budget_matched,4,0,0.0,0.0,0.0,0.0
bedroom:205197ab-2552-4466-aa07-fdb2beb1f7ab_MasterBedroom-6399,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,5,1,0.8170179546344326,0.8170179546344326,0.8170179546344326,0.8170179546344326
bedroom:205197ab-2552-4466-aa07-fdb2beb1f7ab_MasterBedroom-6399,random_movement_matched_seed0,eg06_random_seed0,5,1,0.8170179546344326,0.8170179546344326,0.8170179546344326,0.8170179546344326
bedroom:205197ab-2552-4466-aa07-fdb2beb1f7ab_MasterBedroom-6399,random_movement_matched_seed1,eg06_random_seed1,5,1,0.8170179546344326,0.8170179546344326,0.8170179546344326,0.8170179546344326
bedroom:205197ab-2552-4466-aa07-fdb2beb1f7ab_MasterBedroom-6399,random_movement_matched_seed2,eg06_random_seed2,5,1,0.8170179546344325,0.8170179546344325,0.8170179546344326,0.8170179546344326
