room,variant,relation,n,baseline_acc,repair_acc,gain
diningroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,5,14,0.9285714285714286,0.9285714285714286,0.0
diningroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,6,53,0.4339622641509434,0.6226415094339622,0.18867924528301883
diningroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,7,36,0.4722222222222222,0.6388888888888888,0.16666666666666663
diningroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,8,19,0.631578947368421,0.8421052631578947,0.21052631578947367
diningroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,9,13,0.9230769230769231,1.0,0.07692307692307687
diningroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,0,1,1.0,1.0,0.0
diningroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,42,0.4523809523809524,0.6904761904761905,0.23809523809523808
diningroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,50,0.64,0.7,0.05999999999999994
diningroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,3,20,0.8,0.9,0.09999999999999998
diningroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,4,21,0.7142857142857143,0.8571428571428571,0.1428571428571428
diningroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,5,14,0.9285714285714286,0.9285714285714286,0.0
diningroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,6,53,0.4339622641509434,0.6226415094339622,0.18867924528301883
diningroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,7,36,0.4722222222222222,0.5833333333333334,0.11111111111111116
diningroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,8,19,0.631578947368421,0.8947368421052632,0.26315789473684215
diningroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,9,13,0.9230769230769231,1.0,0.07692307692307687
diningroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,0,1,1.0,1.0,0.0
diningroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,1,42,0.4523809523809524,0.6904761904761905,0.23809523809523808
diningroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,2,50,0.64,0.68,0.040000000000000036
diningroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,3,20,0.8,0.85,0.04999999999999993
diningroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,4,21,0.7142857142857143,0.9047619047619048,0.19047619047619047
diningroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,5,14,0.9285714285714286,0.9285714285714286,0.0
diningroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,6,53,0.4339622641509434,0.6226415094339622,0.18867924528301883
diningroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,7,36,0.4722222222222222,0.6388888888888888,0.16666666666666663
diningroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,8,19,0.631578947368421,0.8947368421052632,0.26315789473684215
diningroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,9,13,0.9230769230769231,1.0,0.07692307692307687
diningroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,0,1,1.0,1.0,0.0
diningroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,1,42,0.4523809523809524,0.6904761904761905,0.23809523809523808
diningroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,2,50,0.64,0.7,0.05999999999999994
diningroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,3,20,0.8,0.9,0.09999999999999998
diningroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,4,21,0.7142857142857143,0.8571428571428571,0.1428571428571428
diningroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,5,14,0.9285714285714286,0.9285714285714286,0.0
diningroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,6,53,0.4339622641509434,0.6226415094339622,0.18867924528301883
diningroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,7,36,0.4722222222222222,0.6111111111111112,0.13888888888888895
diningroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,8,19,0.631578947368421,0.8947368421052632,0.26315789473684215
diningroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,9,13,0.9230769230769231,1.0,0.07692307692307687
diningroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,0,1,1.0,1.0,0.0
diningroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,1,42,0.4523809523809524,0.6904761904761905,0.23809523809523808
diningroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,2,50,0.64,0.7,0.05999999999999994
diningroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,3,20,0.8,0.9,0.09999999999999998
diningroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,4,21,0.7142857142857143,0.8571428571428571,0.1428571428571428
diningroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,5,14,0.9285714285714286,0.9285714285714286,0.0
diningroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,6,53,0.4339622641509434,0.6226415094339622,0.18867924528301883
diningroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,7,36,0.4722222222222222,0.6111111111111112,0.13888888888888895
diningroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,8,19,0.631578947368421,0.8947368421052632,0.26315789473684215
diningroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,9,13,0.9230769230769231,1.0,0.07692307692307687
diningroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,0,1,1.0,1.0,0.0
diningroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,1,42,0.4523809523809524,0.6904761904761905,0.23809523809523808
diningroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,2,50,0.64,0.7,0.05999999999999994
diningroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,3,20,0.8,0.9,0.09999999999999998
diningroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,4,21,0.7142857142857143,0.8571428571428571,0.1428571428571428
diningroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,5,14,0.9285714285714286,0.9285714285714286,0.0
diningroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,6,53,0.4339622641509434,0.6226415094339622,0.18867924528301883
diningroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,7,36,0.4722222222222222,0.5833333333333334,0.11111111111111116
diningroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,8,19,0.631578947368421,0.8947368421052632,0.26315789473684215
diningroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,9,13,0.9230769230769231,1.0,0.07692307692307687
diningroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,0,1,0.0,0.0,0.0
diningroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,1,42,0.4523809523809524,0.6190476190476191,0.16666666666666669
diningroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,2,50,0.58,0.72,0.14
diningroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,3,20,0.7,0.95,0.25
diningroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,4,21,0.6666666666666666,0.9523809523809523,0.2857142857142857
diningroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,5,14,0.9285714285714286,0.9285714285714286,0.0
diningroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,6,53,0.5660377358490566,0.7358490566037735,0.16981132075471694
diningroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,7,36,0.5833333333333334,0.6666666666666666,0.08333333333333326
diningroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,8,19,0.5263157894736842,0.8421052631578947,0.3157894736842105
diningroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,9,13,0.7692307692307693,0.8461538461538461,0.07692307692307687
diningroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,0,1,1.0,1.0,0.0
diningroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,1,42,0.42857142857142855,0.6428571428571429,0.21428571428571436
